record_id,taxkey,date_inspection,violations
EMER-23-00001,3921324110,2023-05-10,1
EMER-23-00002,2081333000,2023-06-13,4
EMER-23-00003,3220905000,2023-06-16,1
EMER-23-00004,3070675000,2023-06-20,2
EMER-23-00005,3280315000,2023-05-31,6
EMER-23-00007,5350516000,2023-05-10,3
EMER-23-00008,3922431000,2023-06-30,1
EMER-23-00009,3661033000,2023-07-07,4
EMER-23-00011,2140003111,2023-08-04,1
EMER-23-00012,3220507000,2023-08-17,6
EMER-23-00013,5790018110,2023-08-24,1
EMER-23-00014,2820908000,2023-08-29,1
EMER-23-00015,3140630000,2023-09-13,1
EMER-23-00016,1770205000,2023-09-13,1
EMER-23-00017,3061246000,2023-09-19,1
EMER-23-00018,3651155000,2023-09-14,4
EMER-23-00019,2320595000,2023-09-20,4
EMER-23-00020,0000005382,2023-09-25,1
EMER-23-00021,3070616000,2023-09-28,3
EMER-23-00022,3080715000,2023-09-28,4
EMER-23-00023,1450455000,2023-09-29,1
EMER-23-00024,3970561000,2023-09-25,1
EMER-23-00025,3970564000,2023-09-25,1
EMER-23-00026,3970565000,2023-09-25,1
EMER-23-00027,3970566000,2023-09-25,1
EMER-23-00028,3970567100,2023-09-25,1
EMER-23-00029,3970568000,2023-09-25,1
EMER-23-00030,3970569000,2023-09-25,1
EMER-23-00031,3970570000,2023-09-25,1
EMER-23-00032,3970571000,2023-09-25,1
EMER-23-00033,3970572000,2023-09-25,1
EMER-23-00034,3970573000,2023-09-25,1
EMER-23-00035,3970574000,2023-09-25,1
EMER-23-00036,3970575000,2023-09-25,1
EMER-23-00037,3970576000,2023-09-25,1
EMER-23-00038,3970577000,2023-09-25,1
EMER-23-00039,3970578000,2023-09-25,1
EMER-23-00040,3970579000,2023-09-25,1
EMER-23-00041,3970580000,2023-09-25,1
EMER-23-00042,3970581000,2023-09-25,1
EMER-23-00043,3970582000,2023-09-25,1
EMER-23-00044,3970583000,2023-09-25,1
EMER-23-00045,3970584000,2023-09-25,1
EMER-23-00046,3970585000,2023-09-25,1
EMER-23-00047,3970586000,2023-09-25,1
EMER-23-00048,3970587000,2023-09-25,1
EMER-23-00049,3970588000,2023-09-25,1
EMER-23-00050,3970589000,2023-09-25,1
EMER-23-00051,3970590000,2023-09-25,1
EMER-23-00052,3970591000,2023-09-25,1
EMER-23-00053,3970592000,2023-09-25,1
EMER-23-00054,3970593000,2023-09-25,1
EMER-23-00055,3970594000,2023-09-25,1
EMER-23-00056,3970595000,2023-09-25,1
EMER-23-00057,3970596000,2023-09-25,1
EMER-23-00058,3970597000,2023-09-25,1
EMER-23-00059,3970598000,2023-09-25,1
EMER-23-00060,3970599000,2023-09-25,1
EMER-23-00061,3970600000,2023-09-25,1
EMER-23-00062,3970601000,2023-09-25,1
EMER-23-00063,3970602000,2023-09-25,1
EMER-23-00064,3970603000,2023-09-25,1
EMER-23-00065,3970604000,2023-09-25,1
EMER-23-00066,3970605000,2023-09-25,1
EMER-23-00067,3970606000,2023-09-25,1
EMER-23-00068,3970607000,2023-09-25,1
EMER-23-00069,3970608000,2023-09-25,1
EMER-23-00070,3970609000,2023-09-25,1
EMER-23-00071,3970610000,2023-09-25,1
EMER-23-00072,3970611000,2023-09-25,1
EMER-23-00073,3970612000,2023-09-25,1
EMER-23-00074,3970613000,2023-09-25,1
EMER-23-00075,3970615000,2023-09-25,1
EMER-23-00076,3970614000,2023-09-25,1
EMER-23-00077,3970616000,2023-09-25,1
EMER-23-00078,3970617000,2023-09-25,1
EMER-23-00079,3970618000,2023-09-25,1
EMER-23-00080,3970619000,2023-09-25,1
EMER-23-00081,3970620000,2023-09-25,1
EMER-23-00082,3970621000,2023-09-25,1
EMER-23-00083,3970622000,2023-09-25,1
EMER-23-00084,3970623000,2023-09-25,1
EMER-23-00085,3970624000,2023-09-25,1
EMER-23-00086,3970625000,2023-09-25,1
EMER-23-00087,3970626000,2023-09-25,1
EMER-23-00088,3970627000,2023-09-25,1
EMER-23-00089,3970628000,2023-09-25,1
EMER-23-00090,3970629000,2023-09-25,1
EMER-23-00091,3970630000,2023-09-25,1
EMER-23-00092,3970631000,2023-09-25,1
EMER-23-00093,3970632000,2023-09-25,1
EMER-23-00094,3970633000,2023-09-25,1
EMER-23-00095,3970634000,2023-09-25,1
EMER-23-00096,3970635000,2023-09-25,1
EMER-23-00097,3970636000,2023-09-25,1
EMER-23-00098,3970637000,2023-09-25,1
EMER-23-00099,3970638000,2023-09-25,1
EMER-23-00100,3970639000,2023-09-25,1
EMER-23-00101,3970640000,2023-09-25,1
EMER-23-00102,3970641000,2023-09-25,1
EMER-23-00103,3970642100,2023-09-25,1
EMER-23-00104,3970643110,2023-09-25,1
EMER-23-00105,3970562000,2023-09-25,1
EMER-23-00106,3901295000,2023-10-06,2
EMER-23-00107,3901295000,2023-10-06,3
EMER-23-00108,3100119000,2023-10-10,1
EMER-23-00109,1920580100,2023-10-27,1
EMER-23-00110,2830019100,2023-10-30,1
EMER-23-00111,2830014000,2023-11-01,1
EMER-23-00112,1700617000,2023-11-02,1
EMER-23-00117,4342008000,2023-11-21,2
EMER-23-00118,2320438000,2023-11-22,1
EMER-23-00119,3270759000,2023-11-22,4
EMER-23-00120,4680316000,2023-11-27,2
EMER-23-00121,1920344000,2023-11-28,1
EMER-23-00122,3470337000,2023-11-30,1
EMER-23-00123,3470337000,2023-11-30,1
EMER-23-00125,3882016000,2023-11-30,1
EMER-23-00126,2870116000,2023-11-30,6
EMER-23-00128,3111833000,2023-11-30,1
EMER-23-00129,1880636000,2023-12-07,4
EMER-23-00130,2452027000,2023-12-13,1
EMER-23-00131,2130271000,2023-12-13,2
EMER-23-00132,4341615100,2023-12-20,1
GBG-23-00285,5069987121,2023-01-30,1
GBG-23-03215,3220905000,2023-11-16,1
GBG-23-03265,2240690000,2023-12-20,1
NUORD-23-00002,2670730000,2023-01-05,18
NUORD-23-00003,2459989000,2023-01-19,8
NUORD-23-00005,4331332000,2023-02-20,8
NUORD-23-00006,2460248000,2023-03-06,3
NUORD-23-00007,2300241000,2023-03-13,2
NUORD-23-00008,2440407000,2023-03-15,3
NUORD-23-00009,2670504100,2023-03-27,7
NUORD-23-00010,4350057000,2023-03-29,10
NUORD-23-00011,2850624000,2023-04-26,10
NUORD-23-00013,4681430000,2023-05-09,1
NUORD-23-00014,4681430000,2023-05-09,1
NUORD-23-00015,4681430000,2023-05-09,4
NUORD-23-00016,4681430000,2023-05-09,10
NUORD-23-00017,3102705100,2023-05-11,15
NUORD-23-00018,2821360000,2023-05-12,7
NUORD-23-00019,1410262000,2023-06-06,2
NUORD-23-00020,4320660100,2023-07-05,16
NUORD-23-00021,4601644000,2023-07-11,3
NUORD-23-00022,4670366000,2023-07-12,3
NUORD-23-00023,4311072000,2023-07-12,1
NUORD-23-00024,3249852110,2023-07-12,2
NUORD-23-00025,4011603000,2023-07-13,12
NUORD-23-00026,4969981000,2023-08-08,4
NUORD-23-00027,4700520000,2023-08-08,7
NUORD-23-00028,4331243000,2023-08-08,5
NUORD-23-00029,2822705000,2023-08-07,6
NUORD-23-00030,2840516000,2023-08-16,9
NUORD-23-00031,3130721000,2023-08-17,15
NUORD-23-00032,4342111000,2023-08-18,12
NUORD-23-00033,3119978100,2023-08-17,3
NUORD-23-00034,1921196000,2023-08-23,1
NUORD-23-00035,2480727000,2023-08-22,10
NUORD-23-00036,2850624000,2023-08-28,10
NUORD-23-00037,1580325000,2023-08-28,3
NUORD-23-00038,4601698000,2023-08-29,3
NUORD-23-00039,2812313000,2023-08-30,13
NUORD-23-00040,3221200100,2023-09-13,6
NUORD-23-00041,1590001000,2023-10-26,3
NUORD-23-00042,3130715100,2023-10-31,9
NUORD-23-00043,3130046110,2023-11-15,8
ORD-17-00002,2870546000,2017-12-28,4
ORD-17-00004,3280905000,2017-01-03,3
ORD-17-00009,3270573000,2017-01-03,4
ORD-17-00016,5380901000,2017-01-03,1
ORD-17-00024,5800425100,2017-01-03,1
ORD-17-00039,3150301000,2017-01-03,4
ORD-17-00040,4020563000,2017-01-03,12
ORD-17-00041,3150010000,2017-01-03,4
ORD-17-00042,5070465000,2017-01-03,8
ORD-17-00046,1410712000,2017-01-03,5
ORD-17-00047,1579993000,2017-01-03,1
ORD-17-00048,4201106000,2017-01-03,16
ORD-17-00051,3051330000,2017-01-03,2
