name,value
total_parcels,"48,254"
total_units,"148,234"
total_networks,"20,501"
networks_single_parcel,"14,641"
pct_networks_single_parcel,71%
networks_multiple_parcels,"5,860"
pct_networks_multiple_parcels,29%
networks_multiple_names,"3,679"
pct_networks_multiple_names,18%
parcels_single_parcel_owner,"14,641"
pct_parcels_single_parcel_owner,30%
parcels_multiple_parcel_owner,"33,613"
parcels_multiple_name_owner,"26,790"
pct_parcels_multiple_name_owner,56%
total_mprop_names,"28,594"
total_mprop_addresses,"22,703"
mprop_updated,2024-10-18
wdfi_updated,2024-04-10
workflow_updated,2024-10-24
evict_start,2016-01-01
evict_end,2024-07-12
dns_start,2017-01-01
dns_end,2024-06-29
