TAXKEY,residential_units,commercial_units
0000005180,0,0
0000005717,0,0
0000005804,0,0
0000005871,0,0
0000005935,0,0
0000005922,0,0
0000005608,0,0
5390110000,1,0
5599985110,1,0
1399986214,2,0
3881624000,1,0
2530051000,1,0
3650287000,0,0
5570838000,1,0
2940143000,1,0
2449956000,2,0
3550714000,1,0
4601008000,1,0
5940245000,1,0
3250391000,2,0
0840313000,1,0
5110133000,1,0
2130371000,1,0
3031404000,2,0
1200037000,1,0
4280210110,0,9
1890504000,1,0
5041042000,1,0
1231111000,1,0
2440970000,1,0
3890809100,1,0
4990914000,3,0
1109951100,1,0
5590336000,1,0
2801308000,1,0
5360619000,1,0
5779963111,1,0
6890314000,1,0
5071058000,1,0
3660217000,4,0
2230033000,2,0
2160022000,1,0
2670950000,1,0
2860217000,2,0
3220410000,1,0
1921108000,1,0
2851663000,2,0
3050848000,1,0
1780433000,1,0
4601574000,2,0
5400421121,3,0
4580853000,1,0
3850661100,1,0
2851908000,2,0
3281917000,2,0
2530053000,1,0
5610530000,1,0
2090399000,1,0
4331954000,1,0
2270538000,1,0
1880436100,1,0
1840278000,1,0
4970374000,2,0
6900242000,1,0
1391124000,1,0
4690902000,2,0
0030221000,1,0
2680807000,1,0
3070631000,1,0
3020099000,1,0
3091044000,1,0
3600354000,1,0
4601254000,2,0
5600158000,1,0
1740704000,1,0
5380301000,2,0
5361282000,1,0
2090317100,3,0
3500871200,0,0
5080269100,2,0
1719865000,1,0
4991411000,1,1
5730092000,1,0
2620405000,1,0
0840253000,1,0
2310298000,2,0
1439980100,0,18
5050302000,1,0
5350013000,1,0
4310181000,2,0
3642513000,2,0
3030561000,1,0
3061358000,2,0
3469949000,1,0
5319973100,4,0
2800819000,1,0
2630019100,1,0
1580157000,1,0
2860741100,1,0
4201100000,1,0
4680111000,1,0
5120945000,1,0
5491003000,1,0
5759996210,2,0
0840074000,1,0
3161433000,1,0
3050255000,1,0
3922133100,0,35
5970446110,0,0
2710472110,8,0
5410013000,1,0
2101102000,1,0
2099991000,1,0
2210623000,8,0
4620376110,0,1
2640054100,7,2
2280361100,1,0
3020117000,1,0
2850775000,0,0
3280431000,2,0
4180104000,2,0
5521420000,1,0
2520250000,1,0
3100281000,1,0
5040120000,2,0
5570110000,1,0
4991986000,1,0
2470711000,1,0
2780645000,1,0
4340077000,6,0
4070437000,1,0
5600434000,1,0
3180085000,1,0
5300606000,1,0
2620323000,1,0
3540120000,1,0
2871038000,2,0
1490066000,2,0
2930678000,1,0
5320535000,1,0
2830311000,2,0
5580928000,2,0
2440962000,2,0
5580020000,1,0
2649978000,16,0
6441713000,1,0
3650862000,2,0
3291663000,1,0
4620418000,1,0
2700516000,2,0
3240506000,2,0
5089983111,0,3
4311060000,0,1
3271842000,1,0
4270006000,2,0
4990306000,1,0
5830006000,0,0
3610202110,0,8
1390227000,1,0
1921271000,1,0
4332050100,1,0
3051030000,2,0
5390802000,1,0
2120032000,0,1
3109952000,1,0
6890276000,1,0
1840402000,2,0
2050319000,1,0
3290527000,2,0
0449969110,12,0
2790101000,2,0
5071138000,1,0
5040510000,1,0
5071207300,1,0
3280114000,2,0
2490083000,0,0
3230413000,2,0
3281281000,0,0
2230104000,1,0
5350853000,1,0
2260564000,1,0
2120434000,1,0
1430542000,1,0
4240002000,0,0
3160071000,2,0
1229912110,1,0
1490192000,2,0
5491001000,1,0
4960511000,1,0
2670916000,2,0
1530033100,1,0
2722339000,1,0
2881132000,2,0
2720819000,1,0
2260010000,1,0
4050530200,2,0
5490802000,1,0
4320671000,2,0
4080023000,1,0
5950211000,1,0
4961477000,1,0
2440905000,2,0
2530247000,1,0
2530114000,1,0
1850229000,2,0
5280605000,1,0
5600167000,1,0
2659982100,2,0
3890304000,8,2
3290148000,0,3
3111337120,1,0
2510409000,1,0
3050403000,2,0
5140207000,1,0
3480529000,2,0
2240126000,1,0
1160066000,1,0
2861075000,1,0
4710375000,2,0
2120234000,1,0
3513751000,1,0
3130746000,1,0
5380044000,1,0
2880489000,2,0
5580162000,1,0
5380279000,2,0
1520104000,1,0
2739970000,1,0
1170540000,1,0
5360029000,1,0
5149947000,1,0
5000037000,1,0
4010403110,0,0
1870363100,4,0
2290155000,1,0
3490363000,1,0
3503280000,1,0
6430616000,1,0
2091710000,2,0
3140304000,2,0
2280184000,1,0
3170176000,1,0
5130254000,1,0
4991862000,0,1
3490212000,1,0
3050234000,2,0
3461241000,1,0
6680008000,1,0
3102540000,2,0
3020624000,1,0
1780305000,2,0
2702021000,0,0
5300724000,1,0
5980209000,1,0
4011244100,0,0
5320278000,1,0
4030337000,1,0
5600356100,1,0
5130499000,1,0
2890093000,2,0
2610808000,1,0
3031327000,1,0
4360392000,1,0
1589964000,0,0
1530349000,4,0
2920408000,1,0
3211363100,0,0
2440625000,2,0
2270548000,1,0
3471005000,2,0
2870098000,1,0
2080148000,4,0
5820810000,1,0
4010204100,0,0
4611512000,1,2
0310455000,1,0
6241511000,0,0
4961446000,2,0
4161166111,0,3
5580531000,1,0
2700154000,0,0
5071301000,1,0
5071302000,1,0
5071303000,1,0
5071304000,1,0
5071305000,1,0
5071306000,1,0
5071307000,1,0
5071308000,1,0
0000005294,0,0
2701302000,1,0
1080228000,1,0
6429993110,1,0
2280232000,1,0
1860424000,1,0
3200220000,2,0
2490457000,1,0
7160043000,1,0
3241302000,1,0
4940603100,2,0
2480059000,1,0
4670379000,1,0
5270332000,1,0
3670023000,2,0
2930279000,1,0
5950646000,1,0
4180482000,1,0
2611406000,1,0
2790397111,0,2
4331757000,1,0
6699936100,1,0
4961915000,1,0
6889977110,0,0
2701946000,1,0
3632638000,26,0
4360632000,0,0
1909695000,1,0
5270229000,1,0
2811709000,2,0
3470094000,1,0
5290893000,1,0
4610644100,1,0
1860002000,1,0
3270347000,5,0
4960426000,1,0
2660748000,2,0
2631078000,1,0
1870315000,2,0
2250056000,1,0
2449980000,1,0
2080544000,1,0
3480018000,2,0
5570343000,1,0
4350875000,1,0
3231531100,2,0
1750852000,1,0
2170098000,2,0
2250279000,2,0
5571372000,4,0
3290482000,2,0
3900521100,0,0
3661620000,2,0
4940162000,1,0
2100233100,1,0
2720055000,2,0
4020281111,0,0
2451709000,1,0
3030412000,1,0
4360112000,1,0
2842067000,2,0
3920964000,0,1
5120535000,1,0
2210021200,4,0
1909921100,2,0
2500049000,1,0
2630456000,1,0
3122003111,0,1
5570034000,1,0
4200363000,1,0
5360595000,1,0
3250939000,0,1
2470532100,1,0
1760608000,1,0
1910043000,1,0
2880318000,1,0
4611265000,1,0
6709957121,1,0
2530911000,1,0
4171344000,1,0
4020786000,2,0
2800015000,2,0
3200625000,1,0
4360259000,2,0
4601303000,1,0
4961323110,2,0
5600126000,1,0
1939971000,4,0
2940041000,1,0
4610598000,1,1
3251008000,0,0
6909910000,1,0
2250721000,1,0
3480561000,2,0
2280503000,1,0
3921180000,0,0
3220277000,3,0
1780132000,1,0
3230517100,3,0
2290407000,1,0
5470920000,1,0
2100209000,1,0
2861053100,1,0
4351301000,1,0
3661514000,0,1
4581311000,1,0
3109979000,0,0
1090013000,8,0
5580538000,1,0
5070405000,1,0
2550260100,2,0
2240197000,2,0
4340014100,1,0
5260203000,2,0
5361502000,1,0
2630345000,1,0
1200085000,1,0
1090146000,1,0
2300606000,2,0
4011080000,2,0
5590339000,1,0
3981292000,1,2
2530667000,1,0
2700848000,1,0
3460806000,2,0
3460007000,1,0
2830147100,1,0
2840604000,1,0
3850150000,1,0
5490869000,2,0
6690321000,1,0
5370186000,1,0
4689999000,0,0
5010421100,1,0
4601403000,1,0
6439944200,1,0
1170324000,1,0
4611357000,2,0
5610145000,1,0
1921318110,8,0
3480232000,1,0
4611096100,1,0
3220129110,1,0
3131311000,2,0
5269952100,1,0
1780228110,12,0
1919895000,1,0
5140023000,1,0
4961407100,2,0
4960372000,1,0
2841221000,2,0
2250575000,1,0
5330268000,1,0
1490283000,2,0
2722424000,2,0
1760523000,1,0
3161283000,1,0
3010008000,1,0
2660029000,4,0
4050549000,1,0
5370415100,0,0
4961701000,2,0
4360054000,2,0
4710307000,2,0
1449998113,0,0
1229972110,1,1
1750751000,2,0
4970891000,1,0
5820304000,1,0
5940802100,1,0
2890447000,1,0
0730455000,1,0
6670151000,1,0
2260076000,1,0
1379834110,0,2
0720545000,1,0
2820454000,1,0
2940288000,1,0
4340615000,10,0
2630222000,1,0
3140503000,2,0
1550002100,4,0
2320408100,2,0
2610108000,1,0
5560015000,1,0
2870718000,2,0
5030030100,2,0
4159897114,0,0
1700630000,1,0
2930145000,1,0
4320575000,2,0
6431901100,1,0
2280338000,1,0
3270746000,0,0
1410305000,1,0
3271016100,0,0
4020364000,1,0
4341607100,3,0
3491303000,2,2
3031002000,1,0
4710417000,2,0
4691420000,1,1
0730056000,1,0
2450459000,1,0
3030594000,1,0
2060139000,1,0
6700204000,1,0
4702796000,1,0
5290628000,1,0
5460120000,1,0
3161820000,1,0
3461678000,2,0
4620117000,2,0
5120136100,1,0
1860037000,1,0
2270603000,1,0
2670013000,0,2
2250410000,2,0
1040308113,0,1
1530162000,1,0
2271005000,2,0
2630904000,1,0
6240212000,2,0
2890314000,2,0
3290417200,0,0
4891243000,1,0
4010108000,2,0
2430721000,1,2
4269974000,0,1
5471036000,1,0
0400252000,1,0
5511301000,2,0
5130417000,1,0
3550636100,1,1
2740332000,0,3
4600130000,3,0
3910008100,0,0
4990620000,2,0
0341401100,2,0
1840036100,1,0
2451113000,1,0
5140318000,1,0
5560130000,1,0
2240922000,1,0
3020779000,2,0
5040782000,1,0
1890084000,1,0
2880372000,2,0
2240377000,1,0
3281617000,1,0
3211498000,1,0
4342209000,2,0
4660134000,2,0
3220266000,1,0
3550489000,2,0
3281833000,2,0
2520431000,1,0
4099996000,1,0
5399965110,0,1
4970785000,1,0
5000731000,2,0
2710809000,1,0
2070007111,0,0
3891143000,2,0
5380945000,1,0
5270316000,1,0
5580843000,1,0
1150183000,1,0
1100201000,1,0
3522852000,1,0
5070918000,2,0
4270018000,0,0
4601639000,0,0
2840405100,1,0
5780026000,1,0
0810152000,1,0
2069951000,1,0
3231125100,2,0
1740843000,1,0
2670666000,2,0
2080874000,2,0
3660005000,2,0
3061548000,1,0
3490923100,1,0
4180149000,1,0
5940408000,1,0
2812772000,0,0
4610419000,1,0
2260045000,1,0
3161108000,2,0
2841703000,1,0
1501803000,1,0
2240748000,1,2
