mprop_address_raw,mprop_address,standardized
"0672 CARRIL 92 STADO CENTRAL, GUADALAJARA, NM 44100","0672 CARRIL 92 STADO CENTRAL, GUADALAJARA, NM 44100",FALSE
"1 AUTUMN RIDGE RD, ANDOVER, NJ 07821","1 AUTUMN RIDGE RD, ANDOVER, NJ 07821",TRUE
"1 CORPORATE CENTER DR SUITE 36, LAKE ZURICH, IL 60047","1 CORPORATE DR, STE 36, LAKE ZURICH, IL 60047",TRUE
"1 CORPORATE DR SUITE 360, LAKE ZURICH, IL 60047","1 CORPORATE DR, STE 360, LAKE ZURICH, IL 60047",TRUE
"1 CRAWFORD ST 5, CAMBRIDGE, MA 02139","1 CRAWFORD ST, APT 5, CAMBRIDGE, MA 02139",TRUE
"1 CRESCENT WA APT 1106, SAN FRANCISCO, CA 94134","1 CRESCENT WAY, APT 1106, SAN FRANCISCO, CA 94134",TRUE
"1 CRESENT WA APT 1106, SAN FRANCISCO, CA 94134","1 CRESCENT WAY, APT 1106, SAN FRANCISCO, CA 94134",TRUE
"1 CRESENT WY 1106, SAN FRANCISCO, CA 94113","1 CRESCENT WAY, APT 1106, SAN FRANCISCO, CA 94134",TRUE
"1 E DELAWARE PL APT 7A, CHICAGO, IL 60611","1 E DELAWARE PL, APT 7A, CHICAGO, IL 60611",TRUE
"1 E ERIE ST SUITE 525, CHICAGO, IL 60611","1 E ERIE ST, STE 525, CHICAGO, IL 60611",TRUE
"1 E MILL ST, LONG VALLEY, NJ 07853","1 E MILL RD, LONG VALLEY, NJ 07853",TRUE
"1 EAST SCOTT ST APT 1511, CHICAGO, IL 60610","1 E SCOTT ST, APT 1511, CHICAGO, IL 60610",TRUE
"1 EQUITY WA, WESTLAKE, OH 44145","1 EQUITY WA, WESTLAKE, OH 44145",FALSE
"1 HOME CAMPUS, DES MOINES, IA 50328","1 HOME CAMPUS, DES MOINES, IA 50328",FALSE
"1 KEY CAPRI UNIT 408 W, TREASURE ISLAND, FL 33706","1 KEY CAPRI, APT 408E, TREASURE ISLAND, FL 33706",TRUE
"1 MORTGAGE WA MAILSTOP SV0, MT LAUREL, NJ 08054","1 MORTGAGE WAY SV0, MOUNT LAUREL, NJ 08054",TRUE
"1 MORTGAGE WA, MT LAUREL, NJ 08054","1 MORTGAGE WAY, MOUNT LAUREL, NJ 08054",TRUE
"1 MORTGAGE WY, MT LAUREL, NJ 08054","1 MORTGAGE WAY, MOUNT LAUREL, NJ 08054",TRUE
"1 RUSTIC RIDGE, MADISON, WI 53716","1 RUSTIC RIDGE CT, MADISON, WI 53716",TRUE
"1 WEST WILSON ST, MADISON, WI 53073","1 W WILSON ST, MADISON, WI 53703",TRUE
"1 WORLD TRADE CENTER SUITE 187, LONG BEACH, CA 90831","1 WORLD TRADE CTR, STE 187, LONG BEACH, CA 90831",TRUE
"10 E DOTY ST SUITE 445, MADISON, WI 53703","10 E DOTY ST, STE 445, MADISON, WI 53703",TRUE
"10 E DOTY ST UN 445, MADISON, WI 53703","10 E DOTY ST, STE 445, MADISON, WI 53703",TRUE
"10 EAST DOTY ST SUITE 6, MADISON, WI 53703","10 E DOTY ST, STE 6, MADISON, WI 53703",TRUE
"10 LYONS AV, NEWARK, NJ 07112","10 LYONS AVE, NEWARK, NJ 07112",TRUE
"10 RUE DE LA TETE RONDE, VILLIERS-LE-BACLE, 91190","10 RUE DE LA TETE RONDE, VILLIERS-LE-BACLE, 91190",FALSE
"10 SEAGATE DR 3S, NAPLES, FL 34103","10 SEAGATE DR 3S, NAPLES, FL 34103",TRUE
"10 YOSEF HAEFRATI, TEL AVIV, FO 99999","10 YOSEF HAEFRATI, TEL AVIV, FO 99999",FALSE
