wdfi_id,corp_name_clean,address_city,wdfi_group_id,corp_mprop_match
A031771,ADVANTAGE PROPERTIES LTD,P O BOX 170356 MILWAUKEE,2197,TRUE
A032521,AVASTARR LLC,845 S MAIN ST 100 FOND DU LAC,1947,FALSE
A035656,ARBOR APARTMENTS LLC,PO BOX 285 BROOKFIELD,2285,TRUE
A035843,ASTOR I LLC,3015 N SHEPARD AV MILWAUKEE,952,TRUE
A036605,ASTOR II LLC,3015 N SHEPARD AV MILWAUKEE,952,FALSE
A036606,ASTOR III LLC,3015 N SHEPARD AV MILWAUKEE,952,FALSE
A038709,AARON ENTERPRISES LLC,12605 W NORTH AV 203 BROOKFIELD,228,TRUE
A038710,ACCENT PROPERTIES LLC,12605 W NORTH AV 203 BROOKFIELD,228,TRUE
A038779,ATLAS MANAGEMENT LLC,700 S WATER ST MILWAUKEE,1779,FALSE
A039544,APPLE LANE LLP,P O BOX 16569 MILWAUKEE,2196,TRUE
B028572,BRINKMAN ASSOCIATES LIMITED PARTNERSHIP,3255 WALDEN LA OSHKOSH,1040,FALSE
B035745,BURBACH HOMES INC,12750 W NORTH AV B BROOKFIELD,240,FALSE
B036230,BAYBARRY CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
B037391,BAYBOB CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
B037392,BAYJACK CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
B038935,BAYSIS CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
B038940,BELLIN ENTERPRISES LLC,2209 S 62ND ST WEST ALLIS,658,TRUE
B038980,BRERBAY CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
B039503,B S I SCALES INC,16155 W LINCOLN AV NEW BERLIN,402,FALSE
B039603,B & B RENTAL LLP,540 BLUEBIRD CR POYNETTE,1538,FALSE
B040475,BCV LIMITED PARTNERSHIP,7040 INDUSTRIAL LOOP GREENDALE,1785,FALSE
B040798,BUILDING 41 LLC,700 S WATER ST MILWAUKEE,1779,FALSE
B042594,BRISTOL COURTS LLP,P O BOX 16569 MILWAUKEE,2196,FALSE
B042599,BLUEMOUND LAUNDRY LLC,4864 S 10TH ST MILWAUKEE,1437,FALSE
C029681,CANTERBURY COURT PHASE 10 LIMITED PARTNERSHIP,10125 W NORTH AV WAUWATOSA,26,FALSE
C029976,CANTERBURY COURT PHASE 6 LIMITED PARTNERSHIP,10125 W NORTH AV WAUWATOSA,26,FALSE
C029977,CANTERBURY COURT PHASE 5 LIMITED PARTNERSHIP,10125 W NORTH AV WAUWATOSA,26,FALSE
C030860,CANTERBURY COURT PHASE 25 LIMITED PARTNERSHIP,10125 W NORTH AV WAUWATOSA,26,FALSE
C032861,CITY DATA ENTERPRISES CORPORATION,13709 N MARTIN WA MEQUON,300,FALSE
C035575,CONSUMER ELECTRONICS CORP,12425 KNOLL RD ELM GROVE,208,FALSE
C042279,CORNERSTONE EAST LLC,4080 N PORT WASHINGTON RD MILWAUKEE,1266,FALSE
C044295,CAROM HOLDINGS LLC,PO BOX 16814 MILWAUKEE,2233,TRUE
C045168,CREATIVE CARPENTRY COMPANY OF MILWAUKEE,12518 N JACQUELINE CT MEQUON,219,FALSE
C045577,CHRISCOLD LLC,1200 N MAYFAIR RD 410 MILWAUKEE,176,FALSE
C046114,CASINO TROPICAL LIMITED PARTNERSHIP,1032 W WALKER ST MILWAUKEE,52,FALSE
C047488,CLAYTON PARK TOWNHOUSES LLC,1665 N WATER ST MILWAUKEE,431,FALSE
C047662,YA CHANG PROPERTIES LLC,8050 BARONY WOODS PITTSFORD,1893,FALSE
C047724,CYPRESS INVESTMENTS LLC,1267 FOUR WINDS WA HARTLAND,238,FALSE
D019865,DEVONSHIRE APARTMENTS LIMITED PARTNERSHIP,1007 N CASS ST MILWAUKEE,16,FALSE
D023638,D & KB INVESTMENT CORP,3701 CHAIN O LAKES RD EAGLE RIVER,1147,TRUE
D026513,DIACHEMIX HOLDINGS CORPORATION,223 N WATER ST 500 MILWAUKEE,671,FALSE
D026664,D & D REAL ESTATE LLC,19125 KILLARNEY WA BROOKFIELD,532,FALSE
E021823,ELGIN ASSOCIATES (A WISCONSIN LIMITED PARTNERSHIP) (12/29/81),2333 MISTY LA WAUKESHA,710,FALSE
